id,Age Range,Hombre,Mujer,Total
1,0 a 4 años,60146,58784,118930
2,10 a 14 años,65953,63725,129678
3,15 a 19 años,72578,70474,143052
4,20 a 24 años,77509,77391,154900
5,25 a 29 años,69786,72227,142013
6,30 a 34 años,60006,65913,125919
7,35 a 39 años,57778,64856,122634
8,40 a 44 años,55103,64974,120077
9,45 a 49 años,52131,60919,113050
10,5 a 9 años,62979,61155,124134
11,50 a 54 años,45955,55536,101491
12,55 a 59 años,36298,44099,80397
13,60 a 64 años,31014,39236,70250
14,65 a 69 años,23209,29424,52633
15,70 a 74 años,16669,21815,38484
16,75 a 79 años,10462,13658,24120
17,80 a 84 años,6332,9532,15864
18,85 años o más,5075,8476,13551
